epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,518.522,1.40996,1.35802,1.28627,0.75756,0.57424,0.67772,0.40557,1.2994,0.97212,1.20844,0.003328,0.003328,0.003328
2,1024.17,1.36764,0.99707,1.25232,0.75975,0.58427,0.68388,0.40204,1.33041,0.93279,1.232,0.00658732,0.00658732,0.00658732
3,1528.41,1.38911,0.97974,1.26365,0.75951,0.58381,0.68522,0.40467,1.33298,0.92564,1.23711,0.00977257,0.00977257,0.00977257
4,2032.24,1.39719,0.96235,1.27114,0.75657,0.57626,0.68109,0.40461,1.34108,0.89977,1.24553,0.00966667,0.00966667,0.00966667
5,2537.14,1.38774,0.9438,1.26747,0.76945,0.58958,0.69513,0.41863,1.31831,0.86503,1.23012,0.00955556,0.00955556,0.00955556
6,3040.58,1.37769,0.92791,1.25715,0.76547,0.58326,0.68847,0.4109,1.33875,0.88553,1.23373,0.00944445,0.00944445,0.00944445
7,3545.5,1.36862,0.91598,1.25139,0.77175,0.59966,0.70377,0.42657,1.29991,0.84327,1.21862,0.00933334,0.00933334,0.00933334
8,4049.81,1.35949,0.9082,1.24694,0.77054,0.59922,0.70007,0.42345,1.30279,0.85352,1.21549,0.00922223,0.00922223,0.00922223
9,4554.28,1.3545,0.90008,1.24397,0.77852,0.60019,0.70612,0.43001,1.28284,0.8385,1.20738,0.00911112,0.00911112,0.00911112
10,5058.51,1.3495,0.89438,1.23979,0.77809,0.6036,0.71003,0.43412,1.26611,0.84709,1.1994,0.00900001,0.00900001,0.00900001
11,5562.88,1.34023,0.88606,1.2362,0.78252,0.60572,0.71267,0.43542,1.27734,0.82404,1.19704,0.0088889,0.0088889,0.0088889
12,6067.36,1.33634,0.88262,1.23345,0.78057,0.61184,0.71667,0.4397,1.25968,0.82901,1.19415,0.00877779,0.00877779,0.00877779
13,6571.35,1.33089,0.87694,1.23053,0.78363,0.60968,0.7166,0.43869,1.26936,0.81843,1.20213,0.00866668,0.00866668,0.00866668
14,7075.89,1.32685,0.87336,1.23019,0.78495,0.61378,0.72047,0.44325,1.25378,0.81559,1.18839,0.00855557,0.00855557,0.00855557
15,7579.87,1.32451,0.86837,1.22742,0.78889,0.61472,0.72111,0.44491,1.26249,0.80232,1.19605,0.00844446,0.00844446,0.00844446
16,8086.96,1.31538,0.86602,1.22535,0.79206,0.61359,0.72387,0.44859,1.24098,0.80397,1.18039,0.00833335,0.00833335,0.00833335
17,8595.78,1.31957,0.86081,1.21898,0.79134,0.61614,0.72541,0.4501,1.23598,0.79596,1.17548,0.00822224,0.00822224,0.00822224
18,9102.81,1.31147,0.8559,1.21755,0.79459,0.61904,0.72661,0.45001,1.24247,0.79395,1.18203,0.00811113,0.00811113,0.00811113
19,9610.59,1.30724,0.85297,1.21569,0.79038,0.62258,0.72866,0.45313,1.23063,0.79005,1.17294,0.00800002,0.00800002,0.00800002
20,10118.8,1.30887,0.85457,1.21571,0.79845,0.62265,0.73121,0.45659,1.2303,0.78075,1.17616,0.00788891,0.00788891,0.00788891
21,10625.1,1.30283,0.84701,1.21132,0.79761,0.62446,0.73272,0.45659,1.22736,0.77968,1.17026,0.0077778,0.0077778,0.0077778
22,11131.4,1.29516,0.84415,1.2091,0.79934,0.62798,0.73577,0.45987,1.22287,0.77923,1.16579,0.00766669,0.00766669,0.00766669
23,609.577,1.29576,0.8419,1.20953,0.79914,0.62669,0.73518,0.46091,1.21716,0.77159,1.16694,0.00755558,0.00755558,0.00755558
24,1119.39,1.29135,0.83797,1.20688,0.79562,0.63257,0.73775,0.46205,1.22007,0.76691,1.16529,0.00744447,0.00744447,0.00744447
25,1628.91,1.28874,0.83666,1.20359,0.79799,0.63379,0.73974,0.46446,1.21113,0.76701,1.1617,0.00733336,0.00733336,0.00733336
26,2138.92,1.28733,0.83409,1.20255,0.80075,0.63324,0.74066,0.46464,1.20956,0.76867,1.16186,0.00722225,0.00722225,0.00722225
27,2650.96,1.28577,0.83292,1.20051,0.80092,0.63357,0.74117,0.46571,1.20738,0.75723,1.15541,0.00711114,0.00711114,0.00711114
28,3161.81,1.28267,0.83028,1.19622,0.80033,0.63828,0.74305,0.46731,1.20457,0.75481,1.15587,0.00700003,0.00700003,0.00700003
29,3673.94,1.27944,0.82511,1.19442,0.80157,0.63691,0.74386,0.46955,1.19553,0.75706,1.1528,0.00688892,0.00688892,0.00688892
30,4186.05,1.27532,0.82402,1.19415,0.80161,0.64061,0.7452,0.46976,1.19959,0.75104,1.15366,0.00677781,0.00677781,0.00677781
31,4697.8,1.27693,0.82046,1.19413,0.79989,0.64038,0.74588,0.47096,1.19583,0.75077,1.15118,0.0066667,0.0066667,0.0066667
32,5207.27,1.27474,0.81981,1.19062,0.80572,0.64262,0.74847,0.47329,1.19309,0.74667,1.14731,0.00655559,0.00655559,0.00655559
33,5717.28,1.26928,0.81629,1.18966,0.80553,0.64281,0.74895,0.47399,1.19027,0.7445,1.14652,0.00644448,0.00644448,0.00644448
34,6227.85,1.26927,0.81598,1.19071,0.80555,0.64137,0.74872,0.47437,1.19019,0.74181,1.14716,0.00633337,0.00633337,0.00633337
35,6737.82,1.26563,0.81242,1.18717,0.80792,0.64118,0.74971,0.47566,1.18552,0.73885,1.14554,0.00622226,0.00622226,0.00622226
36,7250.53,1.2629,0.8107,1.18847,0.8042,0.64495,0.75021,0.47553,1.18556,0.73976,1.14366,0.00611115,0.00611115,0.00611115
37,7760.6,1.26297,0.80861,1.1853,0.80976,0.64393,0.75114,0.47752,1.18403,0.73584,1.14313,0.00600004,0.00600004,0.00600004
38,8269.01,1.25423,0.80657,1.18527,0.80659,0.64684,0.75171,0.47784,1.18129,0.73358,1.14415,0.00588893,0.00588893,0.00588893
39,8782.03,1.26174,0.80378,1.17971,0.81074,0.64654,0.75332,0.47895,1.17975,0.73329,1.13893,0.00577782,0.00577782,0.00577782
40,9292.12,1.25319,0.80062,1.1796,0.81088,0.64624,0.75319,0.47888,1.18006,0.73151,1.13864,0.00566671,0.00566671,0.00566671
41,9801.87,1.25041,0.7988,1.17731,0.80822,0.64717,0.75394,0.4802,1.17621,0.73034,1.13818,0.0055556,0.0055556,0.0055556
42,10313.1,1.25268,0.80067,1.1784,0.8068,0.64915,0.75476,0.48045,1.17733,0.72851,1.13938,0.00544449,0.00544449,0.00544449
43,525.781,1.24538,0.79243,1.17729,0.8108,0.64959,0.75608,0.48148,1.17501,0.72399,1.13746,0.00533338,0.00533338,0.00533338
44,1038.78,1.24401,0.79252,1.17668,0.81038,0.64993,0.75555,0.48201,1.17532,0.72252,1.13937,0.00522227,0.00522227,0.00522227
45,1607.13,1.24213,0.79301,1.17326,0.81073,0.64994,0.75579,0.48255,1.17228,0.72302,1.13652,0.00511116,0.00511116,0.00511116
46,571.959,1.21378,0.76841,1.15938,0.81264,0.65226,0.75703,0.48235,1.17582,0.71783,1.13858,0.00500005,0.00500005,0.00500005
47,1121.37,1.21869,0.77167,1.16219,0.81116,0.65263,0.75685,0.48184,1.17896,0.71754,1.14087,0.00488894,0.00488894,0.00488894
48,1626.95,1.22926,0.78046,1.16578,0.80996,0.65355,0.75787,0.48248,1.17496,0.71995,1.13673,0.00477783,0.00477783,0.00477783
49,2132.57,1.23917,0.78717,1.17131,0.81015,0.65405,0.75803,0.48344,1.17199,0.72027,1.13558,0.00466672,0.00466672,0.00466672
50,2639.34,1.2368,0.78567,1.16955,0.81133,0.65334,0.75848,0.48403,1.17105,0.71793,1.13312,0.00455561,0.00455561,0.00455561
51,3144.38,1.235,0.78391,1.16646,0.81052,0.6538,0.75879,0.48471,1.1693,0.71594,1.13193,0.0044445,0.0044445,0.0044445
52,3650.76,1.2317,0.77811,1.16252,0.81194,0.65332,0.75873,0.48511,1.16761,0.71613,1.12969,0.00433339,0.00433339,0.00433339
53,4157.74,1.22897,0.77878,1.16342,0.81401,0.6535,0.7598,0.48587,1.16536,0.71546,1.12876,0.00422228,0.00422228,0.00422228
54,4665.52,1.23027,0.77716,1.16335,0.81383,0.65402,0.75976,0.48672,1.16336,0.71458,1.12787,0.00411117,0.00411117,0.00411117
55,5171.79,1.22829,0.77552,1.16075,0.81359,0.65481,0.76078,0.48704,1.16206,0.71277,1.12755,0.00400006,0.00400006,0.00400006
56,5677.65,1.22306,0.771,1.16026,0.81297,0.65575,0.76069,0.48733,1.16186,0.71208,1.12754,0.00388895,0.00388895,0.00388895
57,6184.24,1.2235,0.77028,1.16009,0.81286,0.65669,0.76089,0.48766,1.16187,0.71132,1.12719,0.00377784,0.00377784,0.00377784
58,6689.93,1.21966,0.76755,1.15728,0.81458,0.65592,0.76175,0.4879,1.1608,0.71055,1.12647,0.00366673,0.00366673,0.00366673
59,7197.21,1.21825,0.76641,1.15772,0.81447,0.657,0.76196,0.48821,1.1602,0.71013,1.12619,0.00355562,0.00355562,0.00355562
60,7702.62,1.21651,0.76452,1.15543,0.81549,0.65738,0.76226,0.48845,1.16015,0.7094,1.12624,0.00344451,0.00344451,0.00344451
61,8207.63,1.20822,0.76219,1.15431,0.81657,0.65661,0.76234,0.4887,1.16,0.70882,1.12579,0.0033334,0.0033334,0.0033334
62,8715.11,1.2154,0.76102,1.15077,0.81733,0.65665,0.76256,0.48896,1.16,0.70748,1.12594,0.00322229,0.00322229,0.00322229
63,9221.38,1.20795,0.75818,1.14968,0.81749,0.65715,0.76303,0.48936,1.1595,0.70704,1.1254,0.00311118,0.00311118,0.00311118
64,9728.04,1.20564,0.75504,1.14938,0.81639,0.65855,0.76338,0.48965,1.1583,0.70687,1.12477,0.00300007,0.00300007,0.00300007
65,10234.4,1.20947,0.75946,1.14878,0.81651,0.65822,0.76368,0.48964,1.15793,0.70634,1.12416,0.00288896,0.00288896,0.00288896
66,10739.8,1.20895,0.75634,1.14829,0.81604,0.65853,0.76375,0.48963,1.15788,0.70666,1.12387,0.00277785,0.00277785,0.00277785
67,606.635,1.18841,0.741,1.14161,0.81676,0.65831,0.7638,0.48964,1.15824,0.70636,1.12397,0.00266674,0.00266674,0.00266674
68,1116.22,1.18751,0.74156,1.14132,0.81644,0.65886,0.76405,0.48983,1.15824,0.70553,1.12419,0.00255563,0.00255563,0.00255563
69,1625.18,1.18997,0.74415,1.1415,0.81713,0.65915,0.76411,0.48966,1.15826,0.70539,1.12409,0.00244452,0.00244452,0.00244452
70,2135.06,1.19367,0.74408,1.14334,0.81645,0.66018,0.76444,0.48989,1.15824,0.70488,1.12422,0.00233341,0.00233341,0.00233341
71,2647.44,1.1907,0.74305,1.14195,0.81638,0.65988,0.76432,0.4899,1.15833,0.70403,1.12435,0.0022223,0.0022223,0.0022223
72,3157.96,1.19008,0.74103,1.13924,0.81538,0.66002,0.76429,0.49004,1.15813,0.7037,1.12423,0.00211119,0.00211119,0.00211119
73,3668.56,1.18698,0.73681,1.13666,0.815,0.66011,0.76423,0.49002,1.15807,0.70329,1.12418,0.00200008,0.00200008,0.00200008
74,4180.01,1.18384,0.73689,1.13662,0.81628,0.65968,0.76463,0.49018,1.15826,0.70308,1.12424,0.00188897,0.00188897,0.00188897
75,4691.51,1.18428,0.73566,1.13578,0.81666,0.65991,0.76471,0.49018,1.15807,0.70277,1.12418,0.00177786,0.00177786,0.00177786
76,5202.85,1.18272,0.73305,1.13407,0.81589,0.65977,0.76465,0.49031,1.15803,0.70247,1.12422,0.00166675,0.00166675,0.00166675
77,5713.34,1.17769,0.72967,1.13331,0.81613,0.66,0.76481,0.49048,1.15802,0.70224,1.12412,0.00155564,0.00155564,0.00155564
78,6225.36,1.1783,0.72874,1.13321,0.8161,0.66035,0.76481,0.49047,1.15806,0.70218,1.12401,0.00144453,0.00144453,0.00144453
79,6737.11,1.17368,0.72561,1.13047,0.81578,0.66064,0.76484,0.49038,1.15818,0.70222,1.124,0.00133342,0.00133342,0.00133342
80,7250.48,1.17301,0.72571,1.13106,0.81554,0.66112,0.76499,0.49034,1.15825,0.70215,1.1239,0.00122231,0.00122231,0.00122231
