epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,10152.5,1.76724,1.11219,0.00634,0.79383,0.65016,0.75404,0.47315,1.62678,1.0073,0.00746,0.0203334,0.00677781,0.0203334,0.00677781,0.0203334,0.00677781,0.0203334,0.00677781
31,10481.1,1.76462,1.1139,0.00632,0.79306,0.64826,0.7526,0.47221,1.6236,1.01918,0.00746,0.0200001,0.0066667,0.0200001,0.0066667,0.0200001,0.0066667,0.0200001,0.0066667
32,10810.3,1.76203,1.11244,0.00629,0.79753,0.6516,0.75697,0.4758,1.61741,1.00478,0.00743,0.0196668,0.00655559,0.0196668,0.00655559,0.0196668,0.00655559,0.0196668,0.00655559
33,11138.6,1.76034,1.10451,0.00632,0.79235,0.65687,0.75741,0.47658,1.61041,1.00672,0.00739,0.0193334,0.00644448,0.0193334,0.00644448,0.0193334,0.00644448,0.0193334,0.00644448
34,11468.5,1.75639,1.10708,0.00629,0.79788,0.65095,0.75746,0.47729,1.61192,1.00513,0.00735,0.0190001,0.00633337,0.0190001,0.00633337,0.0190001,0.00633337,0.0190001,0.00633337
35,11797.5,1.75611,1.10287,0.0063,0.79375,0.65359,0.757,0.47687,1.62267,1.00414,0.00738,0.0186668,0.00622226,0.0186668,0.00622226,0.0186668,0.00622226,0.0186668,0.00622226
36,12131.4,1.75662,1.09791,0.00624,0.79803,0.65288,0.75894,0.48013,1.60895,0.99448,0.00732,0.0183335,0.00611115,0.0183335,0.00611115,0.0183335,0.00611115,0.0183335,0.00611115
37,12465.7,1.75432,1.10054,0.00622,0.79554,0.65468,0.75872,0.48083,1.6042,0.99656,0.00729,0.0180001,0.00600004,0.0180001,0.00600004,0.0180001,0.00600004,0.0180001,0.00600004
38,12793.1,1.74522,1.08971,0.00625,0.79996,0.65821,0.76178,0.48233,1.60754,0.99547,0.00727,0.0176668,0.00588893,0.0176668,0.00588893,0.0176668,0.00588893,0.0176668,0.00588893
39,13120.8,1.74619,1.09177,0.00622,0.79986,0.65698,0.76195,0.48345,1.60087,0.99182,0.00726,0.0173335,0.00577782,0.0173335,0.00577782,0.0173335,0.00577782,0.0173335,0.00577782
40,13448.5,1.75329,1.08993,0.00614,0.80284,0.65808,0.76375,0.48498,1.60334,0.98845,0.00726,0.0170001,0.00566671,0.0170001,0.00566671,0.0170001,0.00566671,0.0170001,0.00566671
41,13776.9,1.74331,1.08722,0.0062,0.79986,0.65896,0.76416,0.48581,1.59757,0.98676,0.00722,0.0166668,0.0055556,0.0166668,0.0055556,0.0166668,0.0055556,0.0166668,0.0055556
42,427.199,1.50712,1.07843,0.00609,0.80203,0.66069,0.76542,0.4868,0.88513,0.98365,0.0072,0.0163335,0.00544449,0.0163335,0.00544449,0.0163335,0.00544449,0.0163335,0.00544449
43,761.302,1.73851,1.08322,0.00608,0.80145,0.66091,0.76572,0.4866,1.15498,0.9839,0.00716,0.0160001,0.00533338,0.0160001,0.00533338,0.0160001,0.00533338,0.0160001,0.00533338
44,1096.44,1.73644,1.08042,0.00606,0.80356,0.66261,0.76702,0.48759,1.3693,0.98046,0.00718,0.0156668,0.00522227,0.0156668,0.00522227,0.0156668,0.00522227,0.0156668,0.00522227
45,1430.93,1.73816,1.07819,0.00607,0.80334,0.66138,0.76661,0.48747,1.49293,0.98337,0.00716,0.0153335,0.00511116,0.0153335,0.00511116,0.0153335,0.00511116,0.0153335,0.00511116
46,1766.86,1.72474,1.07442,0.00608,0.8049,0.66262,0.76718,0.48885,nan,0.97715,0.00715,0.0150002,0.00500005,0.0150002,0.00500005,0.0150002,0.00500005,0.0150002,0.00500005
47,2100.82,1.73137,1.07484,0.00603,0.80588,0.66293,0.76771,0.48978,1.57572,0.97533,0.00716,0.0146668,0.00488894,0.0146668,0.00488894,0.0146668,0.00488894,0.0146668,0.00488894
48,2434.53,1.72891,1.07174,0.00603,0.80272,0.66588,0.7691,0.49085,1.58019,0.9732,0.00713,0.0143335,0.00477783,0.0143335,0.00477783,0.0143335,0.00477783,0.0143335,0.00477783
49,2770.67,1.72149,1.07082,0.00605,0.80446,0.66418,0.76884,0.49111,1.58426,0.97272,0.00711,0.0140002,0.00466672,0.0140002,0.00466672,0.0140002,0.00466672,0.0140002,0.00466672
50,3105.85,1.72281,1.06736,0.00603,0.80406,0.66514,0.76911,0.49136,1.58585,0.97279,0.00708,0.0136668,0.00455561,0.0136668,0.00455561,0.0136668,0.00455561,0.0136668,0.00455561
51,3440.8,1.71643,1.06565,0.00601,0.80463,0.66493,0.76944,0.49214,1.58823,0.96998,0.00709,0.0133335,0.0044445,0.0133335,0.0044445,0.0133335,0.0044445,0.0133335,0.0044445
52,3775.24,1.71511,1.06019,0.006,0.80397,0.66596,0.77022,0.4928,1.58441,0.96864,0.00709,0.0130002,0.00433339,0.0130002,0.00433339,0.0130002,0.00433339,0.0130002,0.00433339
53,4109.55,1.72442,1.06501,0.00596,0.80751,0.66528,0.77073,0.49285,1.58299,0.97006,0.00707,0.0126668,0.00422228,0.0126668,0.00422228,0.0126668,0.00422228,0.0126668,0.00422228
54,4444.18,1.71744,1.06228,0.00602,0.80761,0.66553,0.77095,0.49349,1.58386,0.96826,0.00706,0.0123335,0.00411117,0.0123335,0.00411117,0.0123335,0.00411117,0.0123335,0.00411117
55,4779.51,1.71273,1.05722,0.00594,0.80683,0.66636,0.77121,0.49427,1.5821,0.96674,0.00704,0.0120002,0.00400006,0.0120002,0.00400006,0.0120002,0.00400006,0.0120002,0.00400006
56,5114.06,1.71176,1.05828,0.00595,0.80626,0.66693,0.77135,0.49449,1.5811,0.96658,0.00704,0.0116668,0.00388895,0.0116668,0.00388895,0.0116668,0.00388895,0.0116668,0.00388895
57,5449.78,1.70823,1.05029,0.00593,0.80872,0.66596,0.77172,0.49494,1.58055,0.96443,0.00704,0.0113335,0.00377784,0.0113335,0.00377784,0.0113335,0.00377784,0.0113335,0.00377784
58,5785.05,1.70239,1.04801,0.00596,0.80892,0.66556,0.77204,0.49506,1.57991,0.9636,0.00703,0.0110002,0.00366673,0.0110002,0.00366673,0.0110002,0.00366673,0.0110002,0.00366673
59,6119.73,1.7121,1.046,0.00593,0.80752,0.66748,0.77226,0.49526,1.58068,0.96264,0.00704,0.0106669,0.00355562,0.0106669,0.00355562,0.0106669,0.00355562,0.0106669,0.00355562
60,6455.45,1.71355,1.04586,0.00587,0.80715,0.66806,0.77271,0.49592,1.58009,0.96115,0.00704,0.0103335,0.00344451,0.0103335,0.00344451,0.0103335,0.00344451,0.0103335,0.00344451
61,6789.79,1.71181,1.04488,0.00587,0.80816,0.66828,0.77335,0.49663,1.57766,0.95894,0.00703,0.0100002,0.0033334,0.0100002,0.0033334,0.0100002,0.0033334,0.0100002,0.0033334
62,7125.3,1.71281,1.04415,0.00587,0.80975,0.66742,0.77371,0.49719,1.57747,0.95825,0.00702,0.00966687,0.00322229,0.00966687,0.00322229,0.00966687,0.00322229,0.00966687,0.00322229
63,7461.17,1.69885,1.03878,0.00585,0.81086,0.66724,0.77398,0.4973,1.57809,0.95723,0.00702,0.00933354,0.00311118,0.00933354,0.00311118,0.00933354,0.00311118,0.00933354,0.00311118
64,7796.68,1.70362,1.03869,0.00585,0.81209,0.66661,0.77405,0.49748,1.57587,0.95797,0.00701,0.00900021,0.00300007,0.00900021,0.00300007,0.00900021,0.00300007,0.00900021,0.00300007
65,8131.7,1.69804,1.03572,0.00586,0.80995,0.66822,0.77427,0.49789,1.57556,0.95741,0.00701,0.00866688,0.00288896,0.00866688,0.00288896,0.00866688,0.00288896,0.00866688,0.00288896
66,8466.25,1.70022,1.0354,0.0058,0.81043,0.66868,0.77494,0.49844,1.57528,0.956,0.007,0.00833355,0.00277785,0.00833355,0.00277785,0.00833355,0.00277785,0.00833355,0.00277785
67,8800.27,1.69938,1.03203,0.00583,0.8116,0.66818,0.77477,0.49844,1.57514,0.95545,0.007,0.00800022,0.00266674,0.00800022,0.00266674,0.00800022,0.00266674,0.00800022,0.00266674
68,427.647,1.46044,1.01658,0.00572,0.81143,0.66867,0.77522,0.49854,0.86607,0.95496,0.007,0.00766689,0.00255563,0.00766689,0.00255563,0.00766689,0.00255563,0.00766689,0.00255563
69,828.427,1.69283,1.02219,0.00573,0.81236,0.66923,0.77539,0.49878,1.13503,0.95435,0.007,0.00733356,0.00244452,0.00733356,0.00244452,0.00733356,0.00244452,0.00733356,0.00244452
70,1155.4,1.6904,1.02068,0.00571,0.81146,0.66947,0.77546,0.49871,1.34609,0.95387,0.007,0.00700023,0.00233341,0.00700023,0.00233341,0.00700023,0.00233341,0.00700023,0.00233341
71,1481.9,1.69121,1.01637,0.00571,0.81111,0.66962,0.77557,0.49895,1.47093,0.95366,0.007,0.0066669,0.0022223,0.0066669,0.0022223,0.0066669,0.0022223,0.0066669,0.0022223
72,1808.37,1.67931,1.01141,0.00573,0.81088,0.6704,0.77574,0.49905,1.53153,0.95318,0.007,0.00633357,0.00211119,0.00633357,0.00211119,0.00633357,0.00211119,0.00633357,0.00211119
73,2134.06,1.68676,1.01242,0.00568,0.81144,0.67045,0.776,0.49926,1.55802,0.95218,0.00699,0.00600024,0.00200008,0.00600024,0.00200008,0.00600024,0.00200008,0.00600024,0.00200008
74,2460.6,1.68221,1.0099,0.00567,0.81137,0.6701,0.77588,0.49933,1.56913,0.9516,0.007,0.00566691,0.00188897,0.00566691,0.00188897,0.00566691,0.00188897,0.00566691,0.00188897
