epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,453.741,1.68373,1.9107,0.0069,0.69043,0.52817,0.61734,0.36406,1.56899,1.3923,0.00833,0.009984,0.003328,0.009984,0.003328,0.009984,0.003328,0.009984,0.003328
2,787.511,1.68662,1.38631,0.00684,0.72181,0.57699,0.66632,0.39124,1.58354,1.23472,0.0086,0.019762,0.00658732,0.019762,0.00658732,0.019762,0.00658732,0.019762,0.00658732
3,1119.19,1.72705,1.33908,0.00725,0.72703,0.57225,0.66336,0.38019,1.66035,1.22081,0.00933,0.0293177,0.00977257,0.0293177,0.00977257,0.0293177,0.00977257,0.0293177,0.00977257
4,1444.92,1.73734,1.31734,0.00733,0.72954,0.56872,0.6605,0.37463,1.64321,1.31441,0.00922,0.029,0.00966667,0.029,0.00966667,0.029,0.00966667,0.029,0.00966667
5,1772.26,1.72422,1.28719,0.00719,0.73194,0.58886,0.67936,0.40079,1.59227,1.18966,0.00885,0.0286667,0.00955556,0.0286667,0.00955556,0.0286667,0.00955556,0.0286667,0.00955556
6,2097.7,1.71293,1.26649,0.00712,0.74884,0.5781,0.67893,0.39682,1.6053,1.21367,0.0089,0.0283333,0.00944445,0.0283333,0.00944445,0.0283333,0.00944445,0.0283333,0.00944445
7,2423.91,1.70193,1.24852,0.007,0.7551,0.59184,0.69262,0.40836,1.59676,1.15338,0.00886,0.028,0.00933334,0.028,0.00933334,0.028,0.00933334,0.028,0.00933334
8,2750.33,1.69512,1.23915,0.00699,0.74494,0.60405,0.69738,0.41344,1.55957,1.15711,0.00844,0.0276667,0.00922223,0.0276667,0.00922223,0.0276667,0.00922223,0.0276667,0.00922223
9,3075.99,1.68312,1.22304,0.00691,0.75731,0.59568,0.69698,0.41399,1.56918,1.1626,0.00856,0.0273334,0.00911112,0.0273334,0.00911112,0.0273334,0.00911112,0.0273334,0.00911112
10,3401.35,1.67224,1.21382,0.0069,0.75474,0.60177,0.7003,0.42144,1.55456,1.13173,0.00837,0.027,0.00900001,0.027,0.00900001,0.027,0.00900001,0.027,0.00900001
11,3727.27,1.66317,1.20201,0.00683,0.76235,0.59072,0.69648,0.41982,1.5603,1.1415,0.0084,0.0266667,0.0088889,0.0266667,0.0088889,0.0266667,0.0088889,0.0266667,0.0088889
12,4054.07,1.66197,1.19955,0.00679,0.76558,0.60927,0.71081,0.4303,1.54699,1.09943,0.00823,0.0263334,0.00877779,0.0263334,0.00877779,0.0263334,0.00877779,0.0263334,0.00877779
13,4381.99,1.66205,1.19446,0.00672,0.77138,0.60517,0.71176,0.4359,1.5244,1.09924,0.00818,0.026,0.00866668,0.026,0.00866668,0.026,0.00866668,0.026,0.00866668
14,4710.69,1.65452,1.18815,0.00672,0.77074,0.61233,0.71312,0.4305,1.53571,1.11081,0.00818,0.0256667,0.00855557,0.0256667,0.00855557,0.0256667,0.00855557,0.0256667,0.00855557
15,5038.45,1.64663,1.17761,0.00666,0.77075,0.61521,0.71788,0.43915,1.52373,1.08771,0.00808,0.0253334,0.00844446,0.0253334,0.00844446,0.0253334,0.00844446,0.0253334,0.00844446
16,5366.84,1.63346,1.16979,0.00667,0.77141,0.62278,0.72403,0.4424,1.51363,1.07158,0.00796,0.025,0.00833335,0.025,0.00833335,0.025,0.00833335,0.025,0.00833335
17,5693.81,1.63675,1.16998,0.00661,0.76886,0.62533,0.7264,0.44523,1.50091,1.07363,0.00789,0.0246667,0.00822224,0.0246667,0.00822224,0.0246667,0.00822224,0.0246667,0.00822224
18,6023.04,1.63638,1.1643,0.00658,0.78224,0.62697,0.73192,0.45033,1.496,1.05395,0.00786,0.0243334,0.00811113,0.0243334,0.00811113,0.0243334,0.00811113,0.0243334,0.00811113
19,425.297,1.6208,1.15217,0.00646,0.77876,0.62906,0.73058,0.45039,1.48952,1.0694,0.00775,0.0240001,0.00800002,0.0240001,0.00800002,0.0240001,0.00800002,0.0240001,0.00800002
20,826.736,1.62369,1.15199,0.00644,0.78105,0.62707,0.73088,0.4539,1.47219,1.07445,0.00769,0.0236667,0.00788891,0.0236667,0.00788891,0.0236667,0.00788891,0.0236667,0.00788891
21,1150.99,1.61275,1.14558,0.00647,0.78729,0.6304,0.73572,0.45626,1.48495,1.04447,0.00774,0.0233334,0.0077778,0.0233334,0.0077778,0.0233334,0.0077778,0.0233334,0.0077778
22,1474.07,1.60912,1.1432,0.00644,0.78043,0.63457,0.73601,0.45584,1.47535,1.05487,0.00767,0.0230001,0.00766669,0.0230001,0.00766669,0.0230001,0.00766669,0.0230001,0.00766669
23,1798.71,1.6069,1.13705,0.00637,0.78723,0.63418,0.73717,0.45793,1.47854,1.04569,0.00767,0.0226667,0.00755558,0.0226667,0.00755558,0.0226667,0.00755558,0.0226667,0.00755558
24,2122.97,1.60355,1.13485,0.00637,0.78137,0.64098,0.73997,0.45953,1.46525,1.03885,0.00757,0.0223334,0.00744447,0.0223334,0.00744447,0.0223334,0.00744447,0.0223334,0.00744447
25,2447.32,1.60435,1.12859,0.00634,0.78514,0.6359,0.73973,0.46228,1.46281,1.03751,0.00756,0.0220001,0.00733336,0.0220001,0.00733336,0.0220001,0.00733336,0.0220001,0.00733336
