epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.034,1.79768,2.09196,1.35227,0.62876,0.20727,0.22103,0.1288,1.45515,1.14798,1.25391,0.000369225,0.000369225,0.000369225
2,267.114,1.58895,1.23386,1.2851,0.492,0.24598,0.25113,0.14157,1.42863,1.09423,1.26247,0.00070258,0.00070258,0.00070258
3,395.664,1.55992,1.17364,1.28676,0.5524,0.27241,0.28282,0.15673,1.40359,1.03464,1.25978,0.000998903,0.000998903,0.000998903
4,522.745,1.52373,1.12809,1.27651,0.38027,0.29438,0.29009,0.16499,1.34343,0.97938,1.23934,0.000944352,0.000944352,0.000944352
5,649.481,1.51435,1.09696,1.26767,0.3384,0.29956,0.29095,0.16784,1.34875,0.96662,1.23383,0.000888802,0.000888802,0.000888802
6,776.474,1.49763,1.07316,1.26085,0.47149,0.29763,0.30367,0.17053,1.32827,0.94987,1.22853,0.000833253,0.000833253,0.000833253
7,903.839,1.48913,1.06155,1.25723,0.411,0.3069,0.31022,0.17179,1.32761,0.92384,1.2267,0.000777703,0.000777703,0.000777703
8,1030.95,1.47623,1.0403,1.25126,0.45555,0.34165,0.34185,0.1904,1.31698,0.91507,1.22321,0.000722154,0.000722154,0.000722154
9,1158.05,1.46423,1.02539,1.24684,0.38774,0.32706,0.32252,0.18279,1.32372,0.9079,1.2243,0.000666604,0.000666604,0.000666604
10,1285.23,1.45676,1.01002,1.23838,0.3843,0.33653,0.32732,0.1869,1.29616,0.89784,1.21099,0.000611055,0.000611055,0.000611055
11,1403.6,1.41846,0.98683,1.25023,0.41121,0.32863,0.32916,0.18763,1.28585,0.89206,1.20597,0.000555506,0.000555506,0.000555506
12,1521.19,1.40609,0.96494,1.24011,0.42164,0.3403,0.33123,0.18928,1.29488,0.88223,1.20698,0.000499956,0.000499956,0.000499956
13,1638.92,1.39572,0.9536,1.23901,0.42128,0.3435,0.3315,0.18615,1.30334,0.88944,1.2102,0.000444407,0.000444407,0.000444407
14,1756.68,1.39027,0.94128,1.23484,0.40363,0.34979,0.3262,0.18488,1.29257,0.86914,1.20874,0.000388857,0.000388857,0.000388857
15,1874.22,1.38114,0.93022,1.22765,0.43455,0.35615,0.33761,0.19327,1.28127,0.86147,1.20212,0.000333308,0.000333308,0.000333308
16,1991.88,1.37587,0.91987,1.22135,0.44414,0.35401,0.34398,0.19683,1.27699,0.85421,1.19771,0.000277758,0.000277758,0.000277758
17,2109.78,1.36979,0.91063,1.21838,0.45565,0.34794,0.34167,0.19507,1.28039,0.85581,1.1993,0.000222209,0.000222209,0.000222209
18,2227.11,1.35908,0.90195,1.21396,0.45656,0.33958,0.34314,0.19798,1.27602,0.85004,1.19366,0.000166659,0.000166659,0.000166659
19,2344.7,1.35365,0.89285,1.20637,0.42952,0.35947,0.34359,0.19611,1.2792,0.84744,1.19538,0.00011111,0.00011111,0.00011111
20,2462.63,1.3481,0.88645,1.20626,0.45801,0.34958,0.34856,0.19912,1.27948,0.84108,1.19406,5.55606e-05,5.55606e-05,5.55606e-05
