epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.528,1.45669,2.0499,0,0.68633,0.20333,0.2156,0.12664,0.77924,1.15142,0,0.000369225,0.000369225,0.000369225
2,266.043,1.52942,1.24116,0,0.5481,0.25518,0.24371,0.13791,0.81092,1.08185,0,0.00070258,0.00070258,0.00070258
3,394.013,1.51577,1.18221,0,0.30411,0.26536,0.27223,0.15435,0.85817,1.05809,0,0.000998903,0.000998903,0.000998903
4,521.478,1.49973,1.14396,0,0.35518,0.30182,0.28605,0.16188,0.87053,1.02132,0,0.000944352,0.000944352,0.000944352
5,648.298,1.47892,1.10601,0,0.51295,0.26859,0.29479,0.17007,0.93182,0.98705,0,0.000888802,0.000888802,0.000888802
6,774.561,1.47091,1.08593,0,0.4029,0.30278,0.30182,0.17179,0.95741,0.95292,0,0.000833253,0.000833253,0.000833253
7,901.189,1.45535,1.06642,0,0.43819,0.31552,0.31516,0.17542,1.00418,0.93919,0,0.000777703,0.000777703,0.000777703
8,1027.87,1.45169,1.05002,0,0.4227,0.32555,0.32661,0.18165,1.04123,0.92481,0,0.000722154,0.000722154,0.000722154
9,1154.89,1.43788,1.03649,0,0.39405,0.34102,0.32761,0.18248,1.06794,0.9171,0,0.000666604,0.000666604,0.000666604
10,1281.7,1.43551,1.02753,0,0.39393,0.33505,0.33165,0.18965,1.09052,0.9106,0,0.000611055,0.000611055,0.000611055
11,1399.17,1.40363,0.99917,0,0.40244,0.33901,0.33144,0.18695,1.12542,0.90414,0,0.000555506,0.000555506,0.000555506
12,1516.61,1.39563,0.97637,0,0.43997,0.3361,0.33578,0.19164,1.13696,0.88853,0,0.000499956,0.000499956,0.000499956
13,1634.08,1.38504,0.96137,0,0.43824,0.34874,0.35035,0.19858,1.15865,0.88744,0,0.000444407,0.000444407,0.000444407
14,1751.59,1.38188,0.94984,0,0.44721,0.35305,0.35102,0.20154,1.16946,0.88253,0,0.000388857,0.000388857,0.000388857
15,1869.01,1.37696,0.93988,0,0.41672,0.36265,0.35259,0.20133,1.18515,0.86692,0,0.000333308,0.000333308,0.000333308
16,1985.8,1.3706,0.92893,0,0.4427,0.35388,0.35592,0.20145,1.19894,0.86499,0,0.000277758,0.000277758,0.000277758
17,2103.24,1.36342,0.91734,0,0.43297,0.35001,0.35245,0.20052,1.21557,0.86613,0,0.000222209,0.000222209,0.000222209
18,2220.72,1.36261,0.91038,0,0.45142,0.35748,0.35699,0.20507,1.2202,0.86028,0,0.000166659,0.000166659,0.000166659
19,2338.06,1.35702,0.90335,0,0.46221,0.35587,0.35819,0.20502,1.22949,0.86201,0,0.00011111,0.00011111,0.00011111
20,2455.19,1.3502,0.89326,0,0.4622,0.35892,0.35907,0.20682,1.23277,0.85212,0,5.55606e-05,5.55606e-05,5.55606e-05
