epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.219,1.96399,2.65007,0.00792,0.78696,0.16966,0.17317,0.10305,1.61046,1.75012,0.00881,0.000369225,0.000369225,0.000369225
2,265.203,1.81852,1.83232,0.0071,0.78891,0.18882,0.20615,0.11915,1.62237,1.57445,0.00879,0.00070258,0.00070258,0.00070258
3,376.078,1.82782,1.71456,0.00717,0.626,0.23965,0.22692,0.13094,1.63071,1.50855,0.00888,0.000998903,0.000998903,0.000998903
4,486.602,1.80684,1.61731,0.00709,0.67848,0.24841,0.24599,0.13789,1.66071,1.43608,0.00909,0.000944352,0.000944352,0.000944352
5,597.098,1.79885,1.57619,0.00696,0.53626,0.24525,0.25036,0.14255,1.68061,1.40018,0.00931,0.000888802,0.000888802,0.000888802
6,706.982,1.78586,1.52784,0.00694,0.49779,0.26937,0.26075,0.15228,1.5859,1.34008,0.00852,0.000833253,0.000833253,0.000833253
7,817.227,1.78022,1.49909,0.00692,0.54736,0.2451,0.25914,0.15141,1.56616,1.35297,0.00846,0.000777703,0.000777703,0.000777703
8,926.724,1.76408,1.47644,0.00686,0.46362,0.28927,0.28667,0.16355,1.58577,1.34543,0.00841,0.000722154,0.000722154,0.000722154
9,1037.09,1.76043,1.46095,0.00677,0.38852,0.28616,0.28502,0.1652,1.57256,1.34203,0.00846,0.000666604,0.000666604,0.000666604
10,1146.86,1.75799,1.44426,0.00669,0.38174,0.2955,0.29033,0.1674,1.57721,1.29135,0.0085,0.000611055,0.000611055,0.000611055
11,1248.59,1.69317,1.40426,0.00743,0.45815,0.29138,0.29041,0.16672,1.57478,1.29748,0.00844,0.000555506,0.000555506,0.000555506
12,1348.97,1.67683,1.37184,0.0073,0.44657,0.31474,0.3131,0.18196,1.55053,1.24935,0.00828,0.000499956,0.000499956,0.000499956
13,1450.61,1.66629,1.35501,0.00726,0.45772,0.30993,0.31591,0.18131,1.56287,1.24439,0.00836,0.000444407,0.000444407,0.000444407
14,1552.26,1.65539,1.33035,0.00715,0.39792,0.32403,0.3159,0.18222,1.54579,1.25189,0.00818,0.000388857,0.000388857,0.000388857
15,1654.23,1.65297,1.32432,0.00707,0.47816,0.32595,0.3277,0.1891,1.5544,1.22255,0.00819,0.000333308,0.000333308,0.000333308
16,1756.27,1.64535,1.30707,0.007,0.47471,0.33047,0.33118,0.19182,1.53613,1.22463,0.00806,0.000277758,0.000277758,0.000277758
17,1857.81,1.63629,1.29482,0.00697,0.42606,0.32854,0.32798,0.19098,1.53504,1.22299,0.00802,0.000222209,0.000222209,0.000222209
18,1959.3,1.62973,1.28532,0.00691,0.45581,0.32641,0.33097,0.19226,1.52495,1.21526,0.00799,0.000166659,0.000166659,0.000166659
19,2060.94,1.62334,1.27613,0.00687,0.46117,0.32834,0.33424,0.19328,1.53272,1.21594,0.00804,0.00011111,0.00011111,0.00011111
20,2162.74,1.61818,1.26577,0.00683,0.47129,0.33363,0.33605,0.19488,1.52556,1.20989,0.00796,5.55606e-05,5.55606e-05,5.55606e-05
