epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,9871.99,1.59621,1.11287,0.00633,0.79013,0.64423,0.74817,0.47098,1.44729,1.00689,0.00743,0.0203334,0.00677781,0.0203334,0.00677781,0.0203334,0.00677781,0.0203334,0.00677781
31,10197.4,1.59631,1.11733,0.00632,0.7907,0.64486,0.74842,0.47248,1.44365,1.00824,0.00738,0.0200001,0.0066667,0.0200001,0.0066667,0.0200001,0.0066667,0.0200001,0.0066667
32,10524.4,1.59526,1.11261,0.00627,0.79603,0.64421,0.75093,0.47441,1.43673,1.01195,0.00733,0.0196668,0.00655559,0.0196668,0.00655559,0.0196668,0.00655559,0.0196668,0.00655559
33,422.509,1.57855,1.09821,0.00619,0.79472,0.64845,0.75279,0.47629,1.43397,1.0043,0.00731,0.0193334,0.00644448,0.0193334,0.00644448,0.0193334,0.00644448,0.0193334,0.00644448
34,754.191,1.58333,1.10012,0.00619,0.79739,0.65073,0.75521,0.47681,1.4359,1.0056,0.00732,0.0190001,0.00633337,0.0190001,0.00633337,0.0190001,0.00633337,0.0190001,0.00633337
35,1086.25,1.58031,1.0985,0.00615,0.79922,0.65048,0.75606,0.4791,1.43292,0.99195,0.0073,0.0186668,0.00622226,0.0186668,0.00622226,0.0186668,0.00622226,0.0186668,0.00622226
36,1418.55,1.58023,1.0985,0.00616,0.79794,0.64868,0.75542,0.47704,1.43476,1.00411,0.00728,0.0183335,0.00611115,0.0183335,0.00611115,0.0183335,0.00611115,0.0183335,0.00611115
37,1750.32,1.56995,1.09345,0.00619,0.79495,0.65306,0.75648,0.4803,1.42974,0.98865,0.00724,0.0180001,0.00600004,0.0180001,0.00600004,0.0180001,0.00600004,0.0180001,0.00600004
38,2083.19,1.57592,1.09371,0.00614,0.7953,0.65386,0.75675,0.48057,1.42486,0.99304,0.00722,0.0176668,0.00588893,0.0176668,0.00588893,0.0176668,0.00588893,0.0176668,0.00588893
39,2414.68,1.57066,1.09351,0.00612,0.79825,0.65032,0.75706,0.48223,1.42104,0.99213,0.0072,0.0173335,0.00577782,0.0173335,0.00577782,0.0173335,0.00577782,0.0173335,0.00577782
40,2747.75,1.56688,1.08833,0.00616,0.79991,0.65279,0.75755,0.48154,1.42519,0.98987,0.00721,0.0170001,0.00566671,0.0170001,0.00566671,0.0170001,0.00566671,0.0170001,0.00566671
41,3080.28,1.56512,1.08817,0.00614,0.7985,0.65533,0.75957,0.48247,1.42216,0.99036,0.00719,0.0166668,0.0055556,0.0166668,0.0055556,0.0166668,0.0055556,0.0166668,0.0055556
42,3411.96,1.55707,1.08421,0.00611,0.80097,0.65218,0.75928,0.48296,1.42236,0.98594,0.00718,0.0163335,0.00544449,0.0163335,0.00544449,0.0163335,0.00544449,0.0163335,0.00544449
43,3743.82,1.55659,1.07736,0.0061,0.80076,0.65419,0.76026,0.48425,1.42,0.98129,0.00717,0.0160001,0.00533338,0.0160001,0.00533338,0.0160001,0.00533338,0.0160001,0.00533338
44,4076.94,1.56896,1.08079,0.00607,0.80029,0.65732,0.76108,0.48521,1.4178,0.98172,0.00717,0.0156668,0.00522227,0.0156668,0.00522227,0.0156668,0.00522227,0.0156668,0.00522227
45,4408.78,1.55856,1.07823,0.00612,0.8021,0.65841,0.76216,0.48587,1.41674,0.97698,0.00716,0.0153335,0.00511116,0.0153335,0.00511116,0.0153335,0.00511116,0.0153335,0.00511116
46,4741.16,1.55953,1.0748,0.00605,0.80231,0.65704,0.76238,0.48744,1.41451,0.9737,0.00712,0.0150002,0.00500005,0.0150002,0.00500005,0.0150002,0.00500005,0.0150002,0.00500005
47,5073.85,1.55465,1.07509,0.00604,0.80171,0.65832,0.76295,0.48857,1.41287,0.97214,0.00712,0.0146668,0.00488894,0.0146668,0.00488894,0.0146668,0.00488894,0.0146668,0.00488894
48,5405.88,1.55085,1.06987,0.00602,0.79886,0.66044,0.76315,0.48893,1.41067,0.9706,0.0071,0.0143335,0.00477783,0.0143335,0.00477783,0.0143335,0.00477783,0.0143335,0.00477783
49,5738.06,1.54184,1.0672,0.00604,0.80255,0.6596,0.76366,0.48961,1.40867,0.97249,0.00707,0.0140002,0.00466672,0.0140002,0.00466672,0.0140002,0.00466672,0.0140002,0.00466672
50,6070.17,1.55184,1.06497,0.00604,0.80519,0.65904,0.76449,0.48955,1.40943,0.97113,0.00708,0.0136668,0.00455561,0.0136668,0.00455561,0.0136668,0.00455561,0.0136668,0.00455561
51,6403.8,1.55491,1.06576,0.00598,0.80317,0.66056,0.76442,0.4901,1.40853,0.9677,0.00708,0.0133335,0.0044445,0.0133335,0.0044445,0.0133335,0.0044445,0.0133335,0.0044445
52,6737.55,1.55461,1.06199,0.00597,0.80196,0.66269,0.76532,0.49101,1.40729,0.96643,0.00707,0.0130002,0.00433339,0.0130002,0.00433339,0.0130002,0.00433339,0.0130002,0.00433339
53,7071.01,1.55253,1.06445,0.00597,0.80427,0.66198,0.76626,0.49171,1.40585,0.96497,0.00706,0.0126668,0.00422228,0.0126668,0.00422228,0.0126668,0.00422228,0.0126668,0.00422228
54,7403.28,1.54145,1.05684,0.00595,0.80614,0.66154,0.76634,0.4922,1.40357,0.96548,0.00705,0.0123335,0.00411117,0.0123335,0.00411117,0.0123335,0.00411117,0.0123335,0.00411117
55,7736.23,1.54645,1.05536,0.00595,0.8054,0.66178,0.76659,0.49269,1.4035,0.96427,0.00703,0.0120002,0.00400006,0.0120002,0.00400006,0.0120002,0.00400006,0.0120002,0.00400006
56,8069.33,1.53739,1.05573,0.00595,0.80353,0.66319,0.76655,0.49324,1.40244,0.96384,0.00702,0.0116668,0.00388895,0.0116668,0.00388895,0.0116668,0.00388895,0.0116668,0.00388895
57,424.047,1.52715,1.0408,0.00584,0.80549,0.6633,0.7675,0.49359,1.40241,0.96102,0.00702,0.0113335,0.00377784,0.0113335,0.00377784,0.0113335,0.00377784,0.0113335,0.00377784
58,820.71,1.53623,1.04609,0.00586,0.80566,0.66442,0.76782,0.49396,1.40258,0.9607,0.00701,0.0110002,0.00366673,0.0110002,0.00366673,0.0110002,0.00366673,0.0110002,0.00366673
59,1153.64,1.53447,1.04371,0.00584,0.80533,0.66432,0.76807,0.49393,1.40295,0.95943,0.00701,0.0106669,0.00355562,0.0106669,0.00355562,0.0106669,0.00355562,0.0106669,0.00355562
60,1487.49,1.533,1.04079,0.00584,0.80723,0.66411,0.76871,0.49445,1.40269,0.95849,0.00701,0.0103335,0.00344451,0.0103335,0.00344451,0.0103335,0.00344451,0.0103335,0.00344451
61,1821.91,1.52288,1.03776,0.00587,0.80805,0.66419,0.76897,0.4947,1.40143,0.9579,0.007,0.0100002,0.0033334,0.0100002,0.0033334,0.0100002,0.0033334,0.0100002,0.0033334
62,2156.48,1.52824,1.03946,0.00581,0.80801,0.66573,0.76946,0.49501,1.40082,0.95792,0.007,0.00966687,0.00322229,0.00966687,0.00322229,0.00966687,0.00322229,0.00966687,0.00322229
63,2490.55,1.52399,1.03491,0.00581,0.80526,0.66787,0.76965,0.49541,1.40028,0.95713,0.00699,0.00933354,0.00311118,0.00933354,0.00311118,0.00933354,0.00311118,0.00933354,0.00311118
64,2826.45,1.51777,1.03473,0.00584,0.80781,0.66601,0.76932,0.49505,1.39965,0.95805,0.00699,0.00900021,0.00300007,0.00900021,0.00300007,0.00900021,0.00300007,0.00900021,0.00300007
65,3159.79,1.51743,1.03168,0.00581,0.81093,0.66432,0.76961,0.49527,1.3994,0.95687,0.00699,0.00866688,0.00288896,0.00866688,0.00288896,0.00866688,0.00288896,0.00866688,0.00288896
66,3493.52,1.50806,1.03029,0.00578,0.81088,0.66435,0.76958,0.49548,1.39975,0.95553,0.00699,0.00833355,0.00277785,0.00833355,0.00277785,0.00833355,0.00277785,0.00833355,0.00277785
