epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,452.304,1.61719,1.86948,0.0069,0.69287,0.53811,0.62681,0.36707,1.00411,1.3795,0.00828,0.009984,0.003328,0.009984,0.003328,0.009984,0.003328,0.009984,0.003328
2,786.773,1.8494,1.37619,0.00683,0.71759,0.55693,0.64736,0.37792,1.35591,1.27227,0.00883,0.019762,0.00658732,0.019762,0.00658732,0.019762,0.00658732,0.019762,0.00658732
3,1119.51,1.88472,1.33577,0.00725,0.72116,0.56111,0.65147,0.36985,1.61049,1.27588,0.00952,0.0293177,0.00977257,0.0293177,0.00977257,0.0293177,0.00977257,0.0293177,0.00977257
4,1445.42,1.88921,1.31838,0.00732,0.72661,0.57608,0.66474,0.37702,1.71074,1.35778,0.00925,0.029,0.00966667,0.029,0.00966667,0.029,0.00966667,0.029,0.00966667
5,1772.06,1.87408,1.28739,0.00716,0.7346,0.58516,0.68021,0.39978,1.70099,1.20376,0.00887,0.0286667,0.00955556,0.0286667,0.00955556,0.0286667,0.00955556,0.0286667,0.00955556
6,2097.6,1.86576,1.27142,0.00711,0.75196,0.59152,0.69139,0.40486,1.74888,1.16029,0.00904,0.0283333,0.00944445,0.0283333,0.00944445,0.0283333,0.00944445,0.0283333,0.00944445
7,2424.62,1.85581,1.24771,0.00698,0.75025,0.59927,0.69826,0.41096,1.73593,1.15954,0.00887,0.028,0.00933334,0.028,0.00933334,0.028,0.00933334,0.028,0.00933334
8,2751.15,1.85207,1.23812,0.00699,0.74746,0.61064,0.70453,0.41256,1.72771,1.17461,0.00856,0.0276667,0.00922223,0.0276667,0.00922223,0.0276667,0.00922223,0.0276667,0.00922223
9,3076.2,1.84421,1.21832,0.00692,0.75885,0.60555,0.70535,0.4168,1.73306,1.16923,0.00848,0.0273334,0.00911112,0.0273334,0.00911112,0.0273334,0.00911112,0.0273334,0.00911112
10,3401.58,1.82672,1.21083,0.00688,0.75991,0.59277,0.69942,0.41965,1.73808,1.14101,0.00848,0.027,0.00900001,0.027,0.00900001,0.027,0.00900001,0.027,0.00900001
11,3727.4,1.82492,1.19975,0.00683,0.75928,0.60542,0.70739,0.42073,1.71361,1.16812,0.00832,0.0266667,0.0088889,0.0266667,0.0088889,0.0266667,0.0088889,0.0266667,0.0088889
