epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.154,1.66611,2.57851,0.00793,0.60434,0.17839,0.16558,0.09229,0.95201,1.79582,0.00918,0.000369225,0.000369225,0.000369225
2,265.134,1.92675,1.84153,0.00712,0.61581,0.19348,0.20692,0.11793,1.012,1.63148,0.00906,0.00070258,0.00070258,0.00070258
3,375.613,1.9597,1.72039,0.00712,0.45427,0.23465,0.21557,0.12481,1.08033,1.51794,0.00911,0.000998903,0.000998903,0.000998903
4,485.552,1.93435,1.62199,0.00702,0.61114,0.23658,0.24362,0.13798,1.14963,1.43796,0.00887,0.000944352,0.000944352,0.000944352
5,596.511,1.93835,1.5752,0.00695,0.57397,0.24906,0.26233,0.14932,1.17893,1.39275,0.0087,0.000888802,0.000888802,0.000888802
6,706.564,1.91941,1.5444,0.00695,0.45424,0.2487,0.26705,0.15119,1.24412,1.36349,0.00855,0.000833253,0.000833253,0.000833253
7,816.348,1.92787,1.51037,0.00685,0.42541,0.26632,0.26559,0.15094,1.2928,1.33861,0.00864,0.000777703,0.000777703,0.000777703
8,926.525,1.91847,1.4924,0.00681,0.4256,0.29108,0.27185,0.156,1.33048,1.30946,0.00836,0.000722154,0.000722154,0.000722154
9,1036.39,1.90807,1.46835,0.00672,0.35872,0.29721,0.28384,0.16252,1.40412,1.34616,0.00845,0.000666604,0.000666604,0.000666604
10,1146.44,1.90107,1.45383,0.00669,0.38985,0.31247,0.2944,0.16815,1.42044,1.29014,0.00826,0.000611055,0.000611055,0.000611055
11,1248.02,1.8392,1.40187,0.00741,0.40545,0.29813,0.29334,0.16938,1.48386,1.29366,0.00832,0.000555506,0.000555506,0.000555506
12,1349.39,1.82353,1.37524,0.00728,0.40779,0.31285,0.30217,0.17374,1.51719,1.262,0.00831,0.000499956,0.000499956,0.000499956
13,1451.07,1.81782,1.3613,0.00723,0.41193,0.30031,0.28887,0.16893,1.51931,1.25301,0.00817,0.000444407,0.000444407,0.000444407
14,1552.81,1.81177,1.33617,0.00715,0.40583,0.32113,0.31276,0.17803,1.55893,1.25397,0.0082,0.000388857,0.000388857,0.000388857
15,1654.16,1.81042,1.32511,0.00712,0.42411,0.32662,0.31791,0.18128,1.58716,1.23903,0.00814,0.000333308,0.000333308,0.000333308
16,1755.58,1.80558,1.30408,0.00699,0.42277,0.31418,0.31849,0.18339,1.58481,1.23739,0.00802,0.000277758,0.000277758,0.000277758
17,1856.54,1.78385,1.29192,0.00699,0.42323,0.33433,0.32306,0.18607,1.6132,1.2229,0.00806,0.000222209,0.000222209,0.000222209
18,1957.55,1.78936,1.28507,0.00693,0.41838,0.32786,0.32469,0.18797,1.61368,1.22056,0.00798,0.000166659,0.000166659,0.000166659
19,2058.58,1.77657,1.2762,0.00691,0.42078,0.33356,0.32674,0.18792,1.63477,1.22242,0.00801,0.00011111,0.00011111,0.00011111
20,2159.87,1.77634,1.2719,0.00685,0.40862,0.33363,0.32831,0.18922,1.63712,1.21894,0.00797,5.55606e-05,5.55606e-05,5.55606e-05
