epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,570.491,1.62549,1.858,0.00694,0.70852,0.53399,0.62971,0.37336,0.99,1.36132,0.00826,0.009984,0.003328,0.009984,0.003328,0.009984,0.003328,0.009984,0.003328
2,1027.45,1.84311,1.38997,0.00682,0.71148,0.56358,0.65271,0.38037,1.29434,1.33482,0.00862,0.019762,0.00658732,0.019762,0.00658732,0.019762,0.00658732,0.019762,0.00658732
3,1481.27,1.87653,1.34938,0.00721,0.71483,0.56431,0.64884,0.37139,1.61642,1.26304,0.00942,0.0293177,0.00977257,0.0293177,0.00977257,0.0293177,0.00977257,0.0293177,0.00977257
4,1929.91,1.88813,1.32494,0.00731,0.71792,0.58017,0.66621,0.37733,1.71689,1.26506,0.00938,0.029,0.00966667,0.029,0.00966667,0.029,0.00966667,0.029,0.00966667
5,2379.24,1.87671,1.29366,0.00722,0.74185,0.59611,0.68957,0.40275,1.70692,1.18541,0.00892,0.0286667,0.00955556,0.0286667,0.00955556,0.0286667,0.00955556,0.0286667,0.00955556
6,2827.49,1.86735,1.27184,0.00714,0.74884,0.58777,0.68619,0.39764,1.76762,1.19464,0.009,0.0283333,0.00944445,0.0283333,0.00944445,0.0283333,0.00944445,0.0283333,0.00944445
7,3275.74,1.85124,1.25275,0.00705,0.75151,0.58575,0.68532,0.40698,1.72934,1.17542,0.00886,0.028,0.00933334,0.028,0.00933334,0.028,0.00933334,0.028,0.00933334
8,3726.39,1.85001,1.23774,0.00701,0.74603,0.6063,0.70146,0.41235,1.71505,1.15854,0.0085,0.0276667,0.00922223,0.0276667,0.00922223,0.0276667,0.00922223,0.0276667,0.00922223
9,4174.46,1.84927,1.21805,0.00687,0.75657,0.6055,0.70425,0.41794,1.72149,1.1414,0.00854,0.0273334,0.00911112,0.0273334,0.00911112,0.0273334,0.00911112,0.0273334,0.00911112
10,4623.14,1.83464,1.21325,0.00692,0.75836,0.6091,0.70825,0.41921,1.73451,1.14058,0.0085,0.027,0.00900001,0.027,0.00900001,0.027,0.00900001,0.027,0.00900001
11,5071.14,1.82742,1.20274,0.00684,0.76436,0.60814,0.70911,0.41959,1.7505,1.13574,0.00856,0.0266667,0.0088889,0.0266667,0.0088889,0.0266667,0.0088889,0.0266667,0.0088889
12,5520.99,1.82436,1.19837,0.00682,0.75587,0.61434,0.71207,0.42838,1.70833,1.12195,0.00844,0.0263334,0.00877779,0.0263334,0.00877779,0.0263334,0.00877779,0.0263334,0.00877779
13,5970.92,1.82552,1.18623,0.00675,0.77311,0.61536,0.72052,0.43798,1.67983,1.09104,0.00826,0.026,0.00866668,0.026,0.00866668,0.026,0.00866668,0.026,0.00866668
14,6418.21,1.80759,1.18456,0.00672,0.76857,0.62499,0.72493,0.43745,1.70758,1.08932,0.00816,0.0256667,0.00855557,0.0256667,0.00855557,0.0256667,0.00855557,0.0256667,0.00855557
15,6865.14,1.81471,1.17877,0.00668,0.76978,0.62891,0.72862,0.44134,1.68552,1.08852,0.00805,0.0253334,0.00844446,0.0253334,0.00844446,0.0253334,0.00844446,0.0253334,0.00844446
16,7312.63,1.81033,1.17038,0.00667,0.77728,0.62574,0.73058,0.44482,1.68498,1.07629,0.00809,0.025,0.00833335,0.025,0.00833335,0.025,0.00833335,0.025,0.00833335
17,7761.74,1.80782,1.16333,0.00663,0.7782,0.63167,0.73258,0.44481,1.68715,1.06374,0.00809,0.0246667,0.00822224,0.0246667,0.00822224,0.0246667,0.00822224,0.0246667,0.00822224
18,8212.08,1.79517,1.15591,0.00665,0.7712,0.6336,0.73079,0.44344,1.68077,1.0884,0.00799,0.0243334,0.00811113,0.0243334,0.00811113,0.0243334,0.00811113,0.0243334,0.00811113
19,8661,1.79664,1.14542,0.00656,0.78122,0.63784,0.74002,0.45441,1.65842,1.04785,0.00787,0.0240001,0.00800002,0.0240001,0.00800002,0.0240001,0.00800002,0.0240001,0.00800002
20,9112.8,1.78606,1.14956,0.00657,0.78065,0.63568,0.73963,0.45523,1.64767,1.05331,0.00779,0.0236667,0.00788891,0.0236667,0.00788891,0.0236667,0.00788891,0.0236667,0.00788891
21,9566.09,1.78878,1.14303,0.00649,0.78116,0.63668,0.73919,0.45453,1.66607,1.05128,0.00782,0.0233334,0.0077778,0.0233334,0.0077778,0.0233334,0.0077778,0.0233334,0.0077778
22,10033.2,1.79018,1.13652,0.00651,0.78424,0.64419,0.74486,0.45964,1.64882,1.04244,0.00778,0.0230001,0.00766669,0.0230001,0.00766669,0.0230001,0.00766669,0.0230001,0.00766669
23,10496,1.78348,1.13585,0.00648,0.7852,0.63834,0.74332,0.45861,1.65413,1.05118,0.00774,0.0226667,0.00755558,0.0226667,0.00755558,0.0226667,0.00755558,0.0226667,0.00755558
24,10957.6,1.77861,1.13148,0.00647,0.78484,0.64337,0.74663,0.46174,1.64703,1.03499,0.0077,0.0223334,0.00744447,0.0223334,0.00744447,0.0223334,0.00744447,0.0223334,0.00744447
25,11420.8,1.78138,1.13529,0.00647,0.78719,0.63729,0.74339,0.46147,1.64799,1.03883,0.00763,0.0220001,0.00733336,0.0220001,0.00733336,0.0220001,0.00733336,0.0220001,0.00733336
26,11879.1,1.77462,1.12946,0.00644,0.78714,0.64302,0.7462,0.46284,1.64217,1.04523,0.0076,0.0216667,0.00722225,0.0216667,0.00722225,0.0216667,0.00722225,0.0216667,0.00722225
27,12342.8,1.77219,1.12226,0.0064,0.78927,0.64727,0.75165,0.46934,1.62099,1.02977,0.00752,0.0213334,0.00711114,0.0213334,0.00711114,0.0213334,0.00711114,0.0213334,0.00711114
28,12805.7,1.77935,1.12043,0.00638,0.7919,0.64917,0.75283,0.46897,1.64092,1.02084,0.00759,0.0210001,0.00700003,0.0210001,0.00700003,0.0210001,0.00700003,0.0210001,0.00700003
29,13267.9,1.75811,1.11539,0.00635,0.79059,0.65043,0.75321,0.4721,1.62218,1.01498,0.00749,0.0206668,0.00688892,0.0206668,0.00688892,0.0206668,0.00688892,0.0206668,0.00688892
30,13730.3,1.7759,1.11825,0.00637,0.79315,0.65084,0.75344,0.4718,1.6258,1.02203,0.00748,0.0203334,0.00677781,0.0203334,0.00677781,0.0203334,0.00677781,0.0203334,0.00677781
31,14194.9,1.76958,1.11511,0.00631,0.79562,0.65077,0.7556,0.47489,1.62055,1.00803,0.00745,0.0200001,0.0066667,0.0200001,0.0066667,0.0200001,0.0066667,0.0200001,0.0066667
32,14658,1.76611,1.11027,0.00632,0.79359,0.65318,0.75777,0.47622,1.616,1.008,0.00737,0.0196668,0.00655559,0.0196668,0.00655559,0.0196668,0.00655559,0.0196668,0.00655559
33,15120.1,1.7668,1.10591,0.0063,0.7944,0.65286,0.75762,0.47824,1.61332,1.00443,0.00739,0.0193334,0.00644448,0.0193334,0.00644448,0.0193334,0.00644448,0.0193334,0.00644448
34,15583.8,1.76077,1.10078,0.00628,0.79673,0.65576,0.75939,0.47853,1.61626,0.99832,0.0074,0.0190001,0.00633337,0.0190001,0.00633337,0.0190001,0.00633337,0.0190001,0.00633337
35,16047.9,1.75015,1.09522,0.00629,0.79822,0.65445,0.75974,0.47927,1.60815,1.00357,0.00733,0.0186668,0.00622226,0.0186668,0.00622226,0.0186668,0.00622226,0.0186668,0.00622226
36,16510.9,1.75422,1.09603,0.00626,0.79724,0.65543,0.76109,0.48137,1.60418,0.99568,0.0073,0.0183335,0.00611115,0.0183335,0.00611115,0.0183335,0.00611115,0.0183335,0.00611115
37,16974.8,1.75527,1.09486,0.00627,0.79815,0.65655,0.76136,0.48213,1.61064,0.99115,0.00732,0.0180001,0.00600004,0.0180001,0.00600004,0.0180001,0.00600004,0.0180001,0.00600004
38,17438.2,1.74977,1.093,0.00625,0.79842,0.6573,0.76183,0.48223,1.60479,0.99359,0.00727,0.0176668,0.00588893,0.0176668,0.00588893,0.0176668,0.00588893,0.0176668,0.00588893
39,17902.1,1.75253,1.09197,0.00622,0.79747,0.66138,0.76322,0.4834,1.60245,0.99285,0.00725,0.0173335,0.00577782,0.0173335,0.00577782,0.0173335,0.00577782,0.0173335,0.00577782
40,18365,1.74714,1.08747,0.00619,0.80248,0.6585,0.76438,0.48564,1.59812,0.98559,0.00722,0.0170001,0.00566671,0.0170001,0.00566671,0.0170001,0.00566671,0.0170001,0.00566671
41,18821,1.74568,1.08291,0.00612,0.80015,0.66133,0.76568,0.4862,1.60283,0.98374,0.00723,0.0166668,0.0055556,0.0166668,0.0055556,0.0166668,0.0055556,0.0166668,0.0055556
42,19270.6,1.73744,1.08116,0.00618,0.79996,0.66267,0.76721,0.4867,1.60239,0.98249,0.00723,0.0163335,0.00544449,0.0163335,0.00544449,0.0163335,0.00544449,0.0163335,0.00544449
43,19719.8,1.73924,1.0821,0.00613,0.8007,0.66153,0.76704,0.48675,1.60113,0.98461,0.00719,0.0160001,0.00533338,0.0160001,0.00533338,0.0160001,0.00533338,0.0160001,0.00533338
44,20169.5,1.74638,1.07865,0.00613,0.80091,0.66373,0.76746,0.4878,1.59531,0.98269,0.00716,0.0156668,0.00522227,0.0156668,0.00522227,0.0156668,0.00522227,0.0156668,0.00522227
45,20628.1,1.72919,1.07433,0.00611,0.80159,0.66543,0.76816,0.48837,1.59677,0.97989,0.00717,0.0153335,0.00511116,0.0153335,0.00511116,0.0153335,0.00511116,0.0153335,0.00511116
46,21090.2,1.74302,1.07339,0.0061,0.80405,0.66382,0.76884,0.48945,1.59218,0.9793,0.00713,0.0150002,0.00500005,0.0150002,0.00500005,0.0150002,0.00500005,0.0150002,0.00500005
47,21554.8,1.72993,1.07001,0.0061,0.80458,0.66316,0.76927,0.4904,1.5961,0.97261,0.00715,0.0146668,0.00488894,0.0146668,0.00488894,0.0146668,0.00488894,0.0146668,0.00488894
48,22019,1.73365,1.07275,0.00607,0.80282,0.66551,0.76971,0.49005,1.59272,0.97566,0.00714,0.0143335,0.00477783,0.0143335,0.00477783,0.0143335,0.00477783,0.0143335,0.00477783
