epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,570.446,1.69108,1.93932,0.00693,0.69336,0.51289,0.60564,0.35672,1.55907,1.41978,0.00823,0.00997868,0.00332623,0.00997868,0.00332623,0.00997868,0.00332623,0.00997868,0.00332623
2,1027.99,1.6815,1.39951,0.00684,0.72038,0.57756,0.66515,0.39506,1.53562,1.26376,0.00822,0.0197567,0.00658556,0.0197567,0.00658556,0.0197567,0.00658556,0.0197567,0.00658556
3,1476.66,1.7165,1.34054,0.00711,0.7066,0.53911,0.62795,0.35214,1.71224,1.29949,0.00988,0.0293125,0.00977083,0.0293125,0.00977083,0.0293125,0.00977083,0.0293125,0.00977083
4,1923.68,1.7463,1.33659,0.00735,0.71105,0.54489,0.63397,0.35787,1.69119,1.29398,0.00951,0.029,0.00966667,0.029,0.00966667,0.029,0.00966667,0.029,0.00966667
5,2370.28,1.72655,1.29888,0.00728,0.71842,0.56982,0.65918,0.3726,1.66527,1.23805,0.00941,0.0286667,0.00955556,0.0286667,0.00955556,0.0286667,0.00955556,0.0286667,0.00955556
6,2816.28,1.71108,1.27326,0.00714,0.73864,0.57847,0.6738,0.38698,1.63748,1.22541,0.00895,0.0283333,0.00944445,0.0283333,0.00944445,0.0283333,0.00944445,0.0283333,0.00944445
7,3264.25,1.70808,1.25384,0.00705,0.74782,0.57983,0.6814,0.39949,1.61172,1.18048,0.00891,0.028,0.00933334,0.028,0.00933334,0.028,0.00933334,0.028,0.00933334
8,3711.87,1.69936,1.23704,0.00696,0.75472,0.59502,0.69369,0.40998,1.58119,1.15429,0.00866,0.0276667,0.00922223,0.0276667,0.00922223,0.0276667,0.00922223,0.0276667,0.00922223
9,4159.07,1.69563,1.22723,0.00684,0.75285,0.60178,0.69991,0.42068,1.552,1.13354,0.0085,0.0273334,0.00911112,0.0273334,0.00911112,0.0273334,0.00911112,0.0273334,0.00911112
10,4605.48,1.68246,1.21741,0.00689,0.75023,0.60277,0.70011,0.41569,1.56761,1.13818,0.00851,0.027,0.00900001,0.027,0.00900001,0.027,0.00900001,0.027,0.00900001
