epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,603.062,1.2401,0.79329,1.17302,0.81032,0.64852,0.75429,0.48127,1.17435,0.72945,1.13417,0.00544449,0.00544449,0.00544449
43,1115.76,1.24426,0.79447,1.17368,0.81168,0.64855,0.75511,0.48177,1.17427,0.72908,1.13418,0.00533338,0.00533338,0.00533338
44,1628.34,1.24243,0.79369,1.17272,0.80864,0.65036,0.75575,0.48203,1.17389,0.72646,1.13328,0.00522227,0.00522227,0.00522227
45,2140.63,1.23876,0.78983,1.1704,0.81144,0.64966,0.75685,0.48246,1.17302,0.72565,1.13237,0.00511116,0.00511116,0.00511116
46,2653.5,1.23891,0.78929,1.17023,0.81318,0.64916,0.75688,0.48245,1.17327,0.7241,1.13166,0.00500005,0.00500005,0.00500005
47,3166.36,1.23782,0.78935,1.16968,0.81235,0.6496,0.75695,0.48286,1.17079,0.72388,1.13114,0.00488894,0.00488894,0.00488894
48,3679,1.23026,0.78268,1.16925,0.81502,0.65009,0.75797,0.48388,1.16777,0.72076,1.12998,0.00477783,0.00477783,0.00477783
49,4192.47,1.23346,0.78282,1.16626,0.81541,0.65158,0.75846,0.48446,1.16582,0.71922,1.12814,0.00466672,0.00466672,0.00466672
50,4707.67,1.22966,0.77943,1.16601,0.81483,0.65182,0.75875,0.48485,1.16667,0.71884,1.12853,0.00455561,0.00455561,0.00455561
51,5222.53,1.23052,0.78053,1.16448,0.81542,0.65112,0.75889,0.48567,1.16512,0.71697,1.1277,0.0044445,0.0044445,0.0044445
52,5735.88,1.23331,0.77932,1.16309,0.81369,0.65325,0.75975,0.4859,1.16397,0.71803,1.12702,0.00433339,0.00433339,0.00433339
53,6251.4,1.22781,0.77763,1.16035,0.81354,0.65239,0.7594,0.48636,1.16385,0.71664,1.12702,0.00422228,0.00422228,0.00422228
54,6765.8,1.21873,0.77286,1.16084,0.81353,0.65405,0.75996,0.48662,1.1631,0.71562,1.127,0.00411117,0.00411117,0.00411117
55,7279.91,1.21981,0.77063,1.15833,0.81364,0.65486,0.76037,0.48666,1.16341,0.71427,1.12683,0.00400006,0.00400006,0.00400006
56,7793.95,1.22174,0.76888,1.15524,0.81234,0.65558,0.76058,0.48723,1.16255,0.7136,1.12506,0.00388895,0.00388895,0.00388895
57,8307,1.21945,0.76856,1.15532,0.81342,0.65584,0.76107,0.4876,1.16225,0.7121,1.12467,0.00377784,0.00377784,0.00377784
58,8821.22,1.21339,0.76407,1.15326,0.81507,0.65567,0.76148,0.4879,1.16217,0.71204,1.12442,0.00366673,0.00366673,0.00366673
59,9333.67,1.21576,0.7656,1.15458,0.81362,0.65768,0.76197,0.48846,1.16159,0.71076,1.1244,0.00355562,0.00355562,0.00355562
60,9848.32,1.2193,0.76792,1.15599,0.81688,0.65538,0.76182,0.48858,1.16089,0.71048,1.12455,0.00344451,0.00344451,0.00344451
61,10362,1.21915,0.76726,1.15496,0.81401,0.65739,0.76219,0.48884,1.1599,0.70963,1.12403,0.0033334,0.0033334,0.0033334
62,10874.6,1.21207,0.7611,1.15116,0.81719,0.65573,0.76242,0.48921,1.15942,0.70953,1.12354,0.00322229,0.00322229,0.00322229
