epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.91,1.59327,2.60091,0.00788,0.77477,0.17004,0.1676,0.09795,0.88289,1.79458,0.0089,0.000369225,0.000369225,0.000369225
2,251.953,1.82053,1.85269,0.0071,0.58028,0.1904,0.21367,0.12029,0.98026,1.62479,0.00948,0.00070258,0.00070258,0.00070258
3,376.89,1.86083,1.72339,0.00715,0.47936,0.22696,0.21869,0.12478,1.02375,1.52202,0.00891,0.000998903,0.000998903,0.000998903
4,501.819,1.86337,1.64744,0.00703,0.67564,0.24751,0.25943,0.14573,1.08259,1.44135,0.00889,0.000944352,0.000944352,0.000944352
5,627.945,1.84641,1.59134,0.00697,0.36755,0.2853,0.26558,0.15165,1.13751,1.41841,0.00878,0.000888802,0.000888802,0.000888802
6,753.142,1.83749,1.54987,0.00694,0.59739,0.24923,0.26386,0.15207,1.17221,1.3917,0.00853,0.000833253,0.000833253,0.000833253
7,878.506,1.82712,1.52144,0.00685,0.5383,0.27737,0.27357,0.154,1.23702,1.34409,0.00866,0.000777703,0.000777703,0.000777703
8,1003.19,1.82245,1.49342,0.00679,0.43364,0.30142,0.29434,0.16547,1.28525,1.3212,0.00843,0.000722154,0.000722154,0.000722154
9,1127.26,1.8131,1.47676,0.00678,0.35715,0.30528,0.27931,0.16153,1.31088,1.33961,0.00828,0.000666604,0.000666604,0.000666604
10,1251.7,1.81189,1.45991,0.00672,0.33214,0.30354,0.28746,0.16598,1.37123,1.31256,0.00826,0.000611055,0.000611055,0.000611055
11,1367.15,1.75123,1.41161,0.00741,0.37356,0.30162,0.29761,0.17047,1.41998,1.28716,0.0086,0.000555506,0.000555506,0.000555506
12,1482.5,1.74342,1.38462,0.00732,0.40961,0.29776,0.29566,0.16918,1.43072,1.27358,0.00829,0.000499956,0.000499956,0.000499956
13,1597.23,1.72255,1.35958,0.00722,0.42078,0.30627,0.30657,0.17231,1.47416,1.25885,0.00828,0.000444407,0.000444407,0.000444407
14,1711.24,1.73137,1.34469,0.00713,0.38177,0.31447,0.30529,0.17398,1.49148,1.2699,0.00823,0.000388857,0.000388857,0.000388857
15,1824.55,1.72669,1.33193,0.00709,0.4071,0.32195,0.3107,0.17844,1.50673,1.25727,0.00815,0.000333308,0.000333308,0.000333308
16,1937.75,1.71242,1.31265,0.00703,0.45481,0.33131,0.32108,0.18358,1.50765,1.23704,0.00803,0.000277758,0.000277758,0.000277758
17,2051.48,1.70747,1.30845,0.00695,0.43982,0.33284,0.32317,0.18531,1.53872,1.22979,0.00808,0.000222209,0.000222209,0.000222209
18,2165.11,1.70308,1.29147,0.00694,0.40869,0.32561,0.31555,0.18287,1.54526,1.23234,0.00802,0.000166659,0.000166659,0.000166659
19,2278.73,1.70118,1.28824,0.0069,0.41316,0.32913,0.32191,0.18597,1.55944,1.22331,0.00804,0.00011111,0.00011111,0.00011111
20,2392,1.69059,1.27641,0.00688,0.40666,0.33121,0.32598,0.18762,1.56034,1.22149,0.00797,5.55606e-05,5.55606e-05,5.55606e-05
